taxon,Minimum elevation,Maximum elevation,Source and Notes
Aeronautes montivagus,500,2700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Agamia agami,0,300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Agelasticus thilius,2500,3800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Agelasticus xanthophthalmus,166,650,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Aglaeactis aliciae,3000,3200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Aglaeactis castelnaudii,3500,4300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Aglaeactis cupripennis,2200,4600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Aglaiocercus kingi,900,3000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Agriornis albicauda,3660,4500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Agriornis montanus,1830,4500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Aimophila stolzmanni,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Amaurolimnas concolor,0,1200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Amazilia amazilia,500,2700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Amazilia chionogaster,1200,3500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Amazilia fimbriata,0,1100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Amazilia franciae,400,2750,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Amazilia lactea,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Amazilia tzacatl,0,1200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Amazilia viridicauda,1000,2500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Amazona amazonica,0,600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Amazona autumnalis,0,1100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Amazona farinosa,0,1200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Amazona festiva,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Amazona mercenaria,1100,3400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Amazona ochrocephala,0,400,"McMullan, M., and L. Navarrete. ""Fieldbook of the birds of Ecuador, including the Galapagos Islands."" Fundaci’_n Jocotoco: Quito (2013)."
Amblycercus holosericeus,2100,3350,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Ammodramus aurifrons,0,1800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Ammodramus humeralis,0,1300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ampelioides tschudii,700,1800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Ampelion rubrocristatus,2400,3700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Ampelion rufaxilla,1700,2800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anabacerthia striaticollis,750,2100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anabazenops dorsalis,200,1350,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anairetes agraphia,2600,3450,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anairetes alpinus,3700,4600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Anairetes flavirostris,1900,4100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anairetes nigrocristatus,2100,4000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anairetes parulus,1450,4400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anairetes reguloides,0,4000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anas bahamensis,0,2000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anas cyanoptera,3200,4200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anas discors,0,3600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Anas flavirostris,2800,4800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anas georgica,0,4600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Anas platalea,0,4200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Anas puna,3000,4600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Ancistrops strigilatus,4,1100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Andigena cucullata,3000,3350,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Andigena hypoglauca,1500,3500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Andigena nigrirostris,2200,2400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anhima cornuta,0,800,BirdLife International (2015) Species factsheet: Anhima cornuta. Downloaded from http://www.birdlife.org on 25/02/2015. 
Anhinga anhinga,0,900,BirdLife International (2015) Species factsheet: Anhinga anhinga. Downloaded from http://www.birdlife.org on 25/02/2015.
Anisognathus igniventris,2400,3500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anisognathus lacrymosus,1800,3500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Anisognathus somptuosus,1000,2200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anthracothorax nigricollis,0,800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anthus bogotensis,2950,4400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anthus correndera,3800,4600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anthus furcatus,3500,4100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anthus lutescens,0,450,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Anurolimnas castaneiceps,200,1500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Anurolimnas fasciatus,15,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Anurolimnas viridis,0,1200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ara ararauna,0,1500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ara chloropterus,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ara macao,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ara militaris,600,2600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Ara severus,0,600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Aramides axillaris,0,900,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Aramides cajanea,0,1400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Aramides calopterus,0,800,"Stotz, D. F., Fitzpatrick, J. W., Parker III, T. A., & Moskovits, D. K. (1996). Neotropical birds: ecology and conservation."
Aramides wolfi,0,900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Aramus guarauna,0,1500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Aratinga aurea,0,600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Aratinga erythrogenys,0,1700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Aratinga leucophthalma,0,1700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Aratinga mitrata,1600,3400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Aratinga wagleri,350,3000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Aratinga weddellii,15,700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Ardea cocoi,0,900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Arremon abeillei,0,1800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Arremon aurantiirostris,0,1100,"Ridgely, R. S., & Greenfield, P. J. (2001). The birds of Ecuador. Volume II: a field guide. Christopher Helm, London."
Arremon brunneinucha,1300,3100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Arremon castaneiceps,750,1800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Arremon flavirostris,0,1400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Arremon taciturnus,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Arremon torquatus,400,3500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Arremonops conirostris,0,1600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Arundinicola leucocephala,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Asio flammeus,0,4100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Asio stygius,2200,2900,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Asthenes arequipae,2150,4200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Asthenes cactorum,100,2400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Asthenes flammulata,2900,4400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Asthenes huancavelicae,1830,4200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Asthenes humilis,3100,4800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Asthenes maculicauda,2250,4300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Asthenes modesta,3600,4500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Asthenes ottonis,2750,4000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Asthenes pudibunda,2450,4000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Asthenes sclateri,3800,4150,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Asthenes urubambensis,3100,3800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Asthenes virgata,3250,4500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Asthenes wyatti,3000,4600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Athene cunicularia,0,4500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Atlapetes albiceps,400,1400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Atlapetes canigenis,2500,3500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Atlapetes forbesi,2700,4600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Atlapetes latinuchus,1600,2700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Atlapetes leucopterus,400,2000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Atlapetes melanolaemus,1400,3200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Atlapetes melanopsis,2500,3600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Atlapetes nationi,2100,4000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Atlapetes pallidinucha,2500,3200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Atlapetes rufigenis,2750,4100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Atlapetes schistaceus,1800,3800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Atlapetes seebohmi,1150,2800,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Atlapetes terborghi,2520,3520,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Atlapetes tricolor,700,3050,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Attagis gayi,4400,5000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Atticora fasciata,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Attila bolivianus,0,300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Attila cinnamomeus,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Attila citriniventris,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Attila spadiceus,0,1200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Attila torridus,0,800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Aulacorhynchus coeruleicinctis,1300,3100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Aulacorhynchus derbianus,800,2100,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Aulacorhynchus haematopygus,300,2750,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Aulacorhynchus huallagae,2000,2600,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Aulacorhynchus prasinus,350,2500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Automolus infuscatus,0,700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Automolus melanopezus,0,800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Automolus ochrolaemus,0,1550,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Automolus rubiginosus,0,1400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Automolus rufipileatus,0,1050,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Baryphthengus martii,0,2640,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Basileuterus bivittatus,750,1500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
